,data,Freq
453,2016-08-29,35
454,2016-08-30,25
455,2016-08-31,30
456,2016-09-01,19
457,2016-09-02,33
458,2016-09-03,25
459,2016-09-04,14
460,2016-09-05,20
461,2016-09-06,33
462,2016-09-07,14
463,2016-09-08,28
464,2016-09-09,33
465,2016-09-10,22
466,2016-09-11,16
467,2016-09-12,33
468,2016-09-13,21
469,2016-09-14,22
470,2016-09-15,28
471,2016-09-16,11
472,2016-09-17,17
473,2016-09-18,18
474,2016-09-19,30
475,2016-09-20,27
476,2016-09-21,24
477,2016-09-22,19
478,2016-09-23,18
479,2016-09-24,18
480,2016-09-25,17
481,2016-09-26,22
482,2016-09-27,26
483,2016-09-28,30
484,2016-09-29,27
485,2016-09-30,32
486,2016-10-01,27
487,2016-10-02,16
488,2016-10-03,22
489,2016-10-04,36
490,2016-10-05,20
491,2016-10-06,23
492,2016-10-07,25
493,2016-10-08,25
494,2016-10-09,12
495,2016-10-10,32
496,2016-10-11,28
497,2016-10-12,14
498,2016-10-13,25
499,2016-10-14,35
500,2016-10-15,25
501,2016-10-16,12
502,2016-10-17,28
503,2016-10-18,31
504,2016-10-19,30
505,2016-10-20,36
506,2016-10-21,36
507,2016-10-22,26
508,2016-10-23,14
509,2016-10-24,32
510,2016-10-25,34
511,2016-10-26,31
512,2016-10-27,27
513,2016-10-28,31
514,2016-10-29,23
515,2016-10-30,17
516,2016-10-31,29
517,2016-11-01,36
518,2016-11-02,13
519,2016-11-03,30
520,2016-11-04,42
521,2016-11-05,28
522,2016-11-06,11
523,2016-11-07,28
524,2016-11-08,24
525,2016-11-09,20
526,2016-11-10,28
527,2016-11-11,27
528,2016-11-12,15
529,2016-11-13,14
530,2016-11-14,33
531,2016-11-15,15
532,2016-11-16,33
533,2016-11-17,31
534,2016-11-18,39
535,2016-11-19,26
536,2016-11-20,16
537,2016-11-21,35
538,2016-11-22,28
539,2016-11-23,25
540,2016-11-24,23
541,2016-11-25,24
542,2016-11-26,21
543,2016-11-27,21
544,2016-11-28,30
545,2016-11-29,27
546,2016-11-30,32
547,2016-12-01,29
548,2016-12-02,23
549,2016-12-03,19
550,2016-12-04,18
551,2016-12-05,32
552,2016-12-06,31
553,2016-12-07,30
554,2016-12-08,16
555,2016-12-09,31
556,2016-12-10,19
557,2016-12-11,17
558,2016-12-12,30
559,2016-12-13,34
560,2016-12-14,30
561,2016-12-15,22
562,2016-12-16,21
563,2016-12-17,27
564,2016-12-18,16
565,2016-12-19,28
566,2016-12-20,27
567,2016-12-21,38
568,2016-12-22,29
569,2016-12-23,32
570,2016-12-24,18
571,2016-12-25,13
572,2016-12-26,22
573,2016-12-27,17
574,2016-12-28,29
575,2016-12-29,34
576,2016-12-30,19
577,2016-12-31,16
578,2017-01-01,12
579,2017-01-02,24
580,2017-01-03,33
581,2017-01-04,24
582,2017-01-05,26
583,2017-01-06,25
584,2017-01-07,21
585,2017-01-08,21
586,2017-01-09,30
587,2017-01-10,25
588,2017-01-11,25
589,2017-01-12,34
590,2017-01-13,30
591,2017-01-14,24
592,2017-01-15,16
593,2017-01-16,33
594,2017-01-17,25
595,2017-01-18,33
596,2017-01-19,28
597,2017-01-20,28
598,2017-01-21,18
599,2017-01-22,14
600,2017-01-23,33
601,2017-01-24,33
602,2017-01-25,19
603,2017-01-26,3
604,2017-01-27,1
605,2017-01-28,4
606,2017-01-29,18
607,2017-01-30,4
608,2017-02-03,5
609,2017-02-04,18
610,2017-02-05,19
611,2017-02-06,31
612,2017-02-07,31
613,2017-02-08,29
614,2017-02-09,29
615,2017-02-10,30
616,2017-02-11,12
617,2017-02-12,16
618,2017-02-13,26
619,2017-02-14,30
620,2017-02-15,27
621,2017-02-16,23
622,2017-02-17,31
623,2017-02-18,12
624,2017-02-19,15
625,2017-02-20,35
626,2017-02-21,25
627,2017-02-22,29
628,2017-02-23,24
629,2017-02-24,17
630,2017-02-25,13
631,2017-02-26,12
632,2017-02-27,16
633,2017-02-28,7
634,2017-03-01,13
635,2017-03-02,23
636,2017-03-03,30
637,2017-03-04,7
638,2017-03-05,12
639,2017-03-06,9
640,2017-03-07,28
641,2017-03-08,33
642,2017-03-09,27
643,2017-03-10,26
644,2017-03-11,16
645,2017-03-12,13
646,2017-03-13,36
647,2017-03-14,29
