,Freq
2018-06-29,35
2018-06-30,15
2018-07-01,11
2018-07-02,12
2018-07-03,26
2018-07-04,33
2018-07-05,28
2018-07-06,30
2018-07-07,17
2018-07-08,11
2018-07-09,25
2018-07-10,25
2018-07-11,15
2018-07-12,21
2018-07-13,21
2018-07-14,25
2018-07-15,7
2018-07-16,12
2018-07-17,28
2018-07-18,30
2018-07-19,24
2018-07-20,23
2018-07-21,18
2018-07-22,14
2018-07-23,28
2018-07-24,19
2018-07-25,17
2018-07-26,35
2018-07-27,36
2018-07-28,13
2018-07-29,8
2018-07-30,30
2018-07-31,21
2018-08-01,23
2018-08-02,23
2018-08-03,22
2018-08-04,23
2018-08-05,14
2018-08-06,34
2018-08-07,33
2018-08-08,32
2018-08-09,27
2018-08-10,38
2018-08-11,21
2018-08-12,13
2018-08-13,27
2018-08-14,30
2018-08-15,35
2018-08-16,32
2018-08-17,37
2018-08-18,17
2018-08-19,17
2018-08-20,34
2018-08-21,33
2018-08-22,23
2018-08-23,32
2018-08-24,20
2018-08-25,19
2018-08-26,15
2018-08-27,25
2018-08-28,26
2018-08-29,19
2018-08-30,22
2018-08-31,31
2018-09-01,20
2018-09-02,16
2018-09-03,27
2018-09-04,29
2018-09-05,36
2018-09-06,45
2018-09-07,13
2018-09-08,17
2018-09-09,15
2018-09-10,44
2018-09-11,24
2018-09-12,33
2018-09-13,35
2018-09-14,41
2018-09-15,28
2018-09-16,18
2018-09-17,33
2018-09-18,27
2018-09-19,36
2018-09-20,35
2018-09-21,42
2018-09-22,33
2018-09-23,14
2018-09-24,23
2018-09-25,32
2018-09-26,27
2018-09-27,38
2018-09-28,26
2018-09-29,17
2018-09-30,20
2018-10-01,30
2018-10-02,39
2018-10-03,33
2018-10-04,38
2018-10-05,25
2018-10-06,25
2018-10-07,16
2018-10-08,26
2018-10-09,38
2018-10-10,33
2018-10-11,28
2018-10-12,15
2018-10-13,7
2018-10-14,13
2018-10-15,12
2018-10-16,40
2018-10-17,28
2018-10-18,27
2018-10-19,40
2018-10-20,22
2018-10-21,15
2018-10-22,42
2018-10-23,36
2018-10-24,35
2018-10-25,30
2018-10-26,44
2018-10-27,31
2018-10-28,21
2018-10-29,28
2018-10-30,32
2018-10-31,39
2018-11-01,31
2018-11-02,13
2018-11-03,11
2018-11-04,15
2018-11-05,36
2018-11-06,34
2018-11-07,37
2018-11-08,28
2018-11-09,53
2018-11-10,23
2018-11-11,19
2018-11-12,43
2018-11-13,25
2018-11-14,38
2018-11-15,16
2018-11-16,20
2018-11-17,25
2018-11-18,18
2018-11-19,32
2018-11-20,37
2018-11-21,26
2018-11-22,31
2018-11-23,49
2018-11-24,22
2018-11-25,24
2018-11-26,37
2018-11-27,32
2018-11-28,29
2018-11-29,26
2018-11-30,37
2018-12-01,28
2018-12-02,21
2018-12-03,45
2018-12-04,38
2018-12-05,36
2018-12-06,36
2018-12-07,39
2018-12-08,21
2018-12-09,15
2018-12-10,43
2018-12-11,40
2018-12-12,32
2018-12-13,30
2018-12-14,35
2018-12-15,27
2018-12-16,14
2018-12-17,35
2018-12-18,44
2018-12-19,43
2018-12-20,40
2018-12-21,34
2018-12-22,21
2018-12-23,26
2018-12-24,18
2018-12-25,12
2018-12-26,24
2018-12-27,25
2018-12-28,36
2018-12-29,17
2018-12-30,13
2018-12-31,13
2019-01-01,10
2019-01-02,30
2019-01-03,21
2019-01-04,18
2019-01-05,24
2019-01-06,8
2019-01-07,35
2019-01-08,28
2019-01-09,19
2019-01-10,36
2019-01-11,28
2019-01-12,25
2019-01-13,11
2019-01-14,29
2019-01-15,24
2019-01-16,21
2019-01-17,25
2019-01-18,22
2019-01-19,12
2019-01-20,13
2019-01-21,31
2019-01-22,34
2019-01-23,22
2019-01-24,24
2019-01-25,25
2019-01-26,17
2019-01-27,14
2019-01-28,15
2019-01-29,19
2019-01-30,38
2019-01-31,37
2019-02-01,34
2019-02-02,16
2019-02-03,9
2019-02-04,27
2019-02-05,38
2019-02-06,30
2019-02-07,40
2019-02-08,37
2019-02-09,13
2019-02-10,20
2019-02-11,38
2019-02-12,37
2019-02-13,24
2019-02-14,33
2019-02-15,30
2019-02-16,18
2019-02-17,15
2019-02-18,27
2019-02-19,29
2019-02-20,40
2019-02-21,34
2019-02-22,38
2019-02-23,32
2019-02-24,10
2019-02-25,38
2019-02-26,27
2019-02-27,43
2019-02-28,35
2019-03-01,34
2019-03-02,21
2019-03-03,11
2019-03-04,8
2019-03-05,11
2019-03-06,16
2019-03-07,33
2019-03-08,46
2019-03-09,29
2019-03-10,5
2019-03-11,35
2019-03-12,28
2019-03-13,40
2019-03-14,30
2019-03-15,40
2019-03-16,19
2019-03-17,16
2019-03-18,36
2019-03-19,34
2019-03-20,27
2019-03-21,44
2019-03-22,35
2019-03-23,17
2019-03-24,12
2019-03-25,33
2019-03-26,32
2019-03-27,33
2019-03-28,35
2019-03-29,42
2019-03-30,14
2019-03-31,10
2019-04-01,36
2019-04-02,32
2019-04-03,24
2019-04-04,28
2019-04-05,38
2019-04-06,19
2019-04-07,21
2019-04-08,33
2019-04-09,33
2019-04-10,30
2019-04-11,27
2019-04-12,37
2019-04-13,20
2019-04-14,17
2019-04-15,32
2019-04-16,39
2019-04-17,30
2019-04-18,25
2019-04-19,7
2019-04-20,19
2019-04-21,14
2019-04-22,29
2019-04-23,27
2019-04-24,29
2019-04-25,31
2019-04-26,40
2019-04-27,33
2019-04-28,19
2019-04-29,35
2019-04-30,31
2019-05-01,10
2019-05-02,35
2019-05-03,41
2019-05-04,12
2019-05-05,15
2019-05-06,20
2019-05-07,22
2019-05-08,34
2019-05-09,28
2019-05-10,25
2019-05-11,20
2019-05-12,14
2019-05-13,24
2019-05-14,32
2019-05-15,24
2019-05-16,27
2019-05-17,31
2019-05-18,29
2019-05-19,12
2019-05-20,41
2019-05-21,18
2019-05-22,28
2019-05-23,31
2019-05-24,24
2019-05-25,20
2019-05-26,15
2019-05-27,19
2019-05-28,36
2019-05-29,23
2019-05-30,32
2019-05-31,31
2019-06-01,17
2019-06-02,14
2019-06-03,23
2019-06-04,46
2019-06-05,33
2019-06-06,32
2019-06-07,35
2019-06-08,21
2019-06-09,17
2019-06-10,21
2019-06-11,29
2019-06-12,42
2019-06-13,15
2019-06-14,26
2019-06-15,20
2019-06-16,19
2019-06-17,19
2019-06-18,30
2019-06-19,35
2019-06-20,24
2019-06-21,28
2019-06-22,14
2019-06-23,15
2019-06-24,10
2019-06-25,37
2019-06-26,32
2019-06-27,29
2019-06-28,33
2019-06-29,16
2019-06-30,12
2019-07-01,34
2019-07-02,28
2019-07-03,18
2019-07-04,29
2019-07-05,30
2019-07-06,17
2019-07-07,15
2019-07-08,20
2019-07-09,20
2019-07-10,32
2019-07-11,33
2019-07-12,30
2019-07-13,23
2019-07-14,19
2019-07-15,24
2019-07-16,11
2019-07-17,37
2019-07-18,28
2019-07-19,32
2019-07-20,18
2019-07-21,14
2019-07-22,26
2019-07-23,26
2019-07-24,20
2019-07-25,25
2019-07-26,24
2019-07-27,16
2019-07-28,14
2019-07-29,24
2019-07-30,25
2019-07-31,33
2019-08-01,31
2019-08-02,36
2019-08-03,17
2019-08-04,19
2019-08-05,23
2019-08-06,33
2019-08-07,26
2019-08-08,36
2019-08-09,35
2019-08-10,25
2019-08-11,13
2019-08-12,22
2019-08-13,31
2019-08-14,38
2019-08-15,35
2019-08-16,36
2019-08-17,23
2019-08-18,12
2019-08-19,33
2019-08-20,34
2019-08-21,26
2019-08-22,34
2019-08-23,23
2019-08-24,21
2019-08-25,13
2019-08-26,29
2019-08-27,23
2019-08-28,26
2019-08-29,37
2019-08-30,30
2019-08-31,18
